anopheles_odb12	2025-02-25	62cc8a1b09c6db5ab4d2f8c368c95341	Eukaryota	lineages
anthozoa_odb12	2025-02-25	ea4a1a073b6192982b339ea00b51581e	Eukaryota	lineages
apicomplexa_odb10	2024-01-08	e27eb839243c4a4280e4187108b48596	Eukaryota	lineages
apicomplexa_odb12	2025-02-25	fdaa4b59be4269d2f71cc24eb9b195ba	Eukaryota	lineages
apoidea_odb12	2025-02-25	fceaed0e28e74f4cb0f8a6cdbd30c974	Eukaryota	lineages
aquificae_odb10	2024-01-08	0285bccb18097979aef7badd2b554378	Prokaryota	lineages
aquificae_odb12	2024-11-14	dea32072e010fff36abc5b2a43070198	Prokaryota	lineages
aquimarina_odb12	2024-11-14	cc8f71bedf922f06e90a2c5c29b69e65	Prokaryota	lineages
arachnida_odb10	2024-01-08	625818d0544cd760356af0b8e9a5a412	Eukaryota	lineages
arachnida_odb12	2025-02-25	f51bf7d8a868f03d019e687236071929	Eukaryota	lineages
araneae_odb12	2025-02-25	f429b2b1ebc4fa642c0997f6f3dc8666	Eukaryota	lineages
archaea_odb10	2024-01-08	3eb26c670c520c0f3b32bff46fce03d7	Prokaryota	lineages
archaea_odb12	2024-11-14	1e57f22819441b38cd1052f1dafae17f	Prokaryota	lineages
arcobacter_odb12	2024-11-14	6f523705f6dbc563c7a16f3bc01578ff	Prokaryota	lineages
arthrobacter_odb12	2024-11-14	3ada38971cf76c3e0d467fbe4dd01a40	Prokaryota	lineages
arthropoda_odb10	2024-01-08	915ae2790da249b81eceeb1cea2ad922	Eukaryota	lineages
arthropoda_odb12	2025-02-25	4c81a0ef3ae51b5c71e47718bcd30b09	Eukaryota	lineages
artiodactyla_odb12	2025-02-25	b1e67bafb3993490f8d982fcc03fa181	Eukaryota	lineages
ascomycota_odb10	2024-01-08	694c2ad193a01cd6e95487a3ddcbcce8	Eukaryota	lineages
ascomycota_odb12	2025-02-25	1acd6ef18ec95371c4b6a7da2688b000	Eukaryota	lineages
aspergillus_odb12	2025-02-25	b2bfc760aa7756207b3ce084db34aced	Eukaryota	lineages
asticcacaulis_odb12	2024-11-14	8d8880a6d9384f65052d51dca575f619	Prokaryota	lineages
atopobiaceae_odb12	2024-11-14	dac58e12499799001c96e7e1e6fadd20	Prokaryota	lineages
aurantimonadaceae_odb12	2024-11-14	39ff971d2aad564784c0fc6e98ac9d2b	Prokaryota	lineages
aureimonas_odb12	2024-11-14	bb20f8051d5cc85713ec7056e63a2d62	Prokaryota	lineages
aves_odb10	2024-01-08	eea0b7e8122b1f528c97c142e9ddfd82	Eukaryota	lineages
aves_odb12	2025-02-25	482a7e7d9d61f875cbfa532c402580be	Eukaryota	lineages
aviadenovirus_odb10	2024-01-08	f9c946051627e87ff717ad466d6c5966	Virus	lineages
azospirillum_odb12	2024-11-14	71a864269edf730783be6c02333c69c9	Prokaryota	lineages
bacillaceae_odb12	2024-11-14	db116b8f31ad00dfeab520e88fe465c8	Prokaryota	lineages
bacillales_odb10	2024-01-08	e2fb5d46b90c76f849d9ec9c49ae79ca	Prokaryota	lineages
bacillales_odb12	2024-11-14	c3e775cf98778c30bd45be2f47709c37	Prokaryota	lineages
bacillariophyta_odb12	2025-02-25	c6d60c485ae04ee4d3a8b9c9d1f494f9	Eukaryota	lineages
bacilli_odb10	2024-01-08	e8dc4ad8c6e26e2dfc47e155736896bd	Prokaryota	lineages
bacilli_odb12	2024-11-14	5f550443fbfcc722c216cb665b084048	Prokaryota	lineages
bacillota_odb12	2024-11-14	154467de830942d833af87ddb8f9310b	Prokaryota	lineages
bacillus_odb12	2024-11-14	b30e3fe542ea58629008bf60b9859ceb	Prokaryota	lineages
bacteria_odb10	2024-01-08	bff9523df89980699c01e8f31e490496	Prokaryota	lineages
bacteria_odb12	2024-11-14	e53a0d29612cb7bd40f397b763a7c627	Prokaryota	lineages
bacteroidales_odb10	2024-01-08	60e4d09d2526ad90561bc0ad4c67f783	Prokaryota	lineages
bacteroidales_odb12	2024-11-14	da10700c9740759c56532c1cc9728372	Prokaryota	lineages
bacteroides_odb12	2024-11-14	cc5993c0fe60afd541797432ecaa0424	Prokaryota	lineages
bacteroidetes-chlorobi_group_odb10	2024-01-08	4d2ae5165b8aec5f42f42d79e98bc05d	Prokaryota	lineages
bacteroidetes_odb10	2024-01-08	81eddd495a27b2c15b661eb2f018b01b	Prokaryota	lineages
bacteroidia_odb10	2024-01-08	1756db675bfee79e3a3a6e9946003038	Prokaryota	lineages
bacteroidia_odb12	2024-11-14	a1668edcd29c8181a4af7e8dbb96da6d	Prokaryota	lineages
bacteroidota-chlorobiota_group_odb12	2024-11-14	d841da2c49f9cc1bdae9f25aee24c77e	Prokaryota	lineages
